Promedio,Máximo,Frecuencia del Máximo,Combinación
5.666666666666667,9.0,1.0,"A, C, S, T"
5.0,9.0,2.0,"A, C, S, U"
4.666666666666667,9.0,1.0,"A, C, S, V"
6.0,9.0,1.0,"A, C, S, W"
7.0,9.0,2.0,"A, C, S, X"
6.333333333333333,13.0,1.0,"A, C, S, Y"
7.0,9.0,3.0,"A, C, S, Z"
4.333333333333333,9.0,1.0,"A, C, T, U"
3.6666666666666665,5.0,3.0,"A, C, T, V"
5.0,7.0,2.0,"A, C, T, W"
5.0,9.0,1.0,"A, C, T, X"
7.0,13.0,2.0,"A, C, T, Y"
6.0,9.0,2.0,"A, C, T, Z"
4.333333333333333,9.0,1.0,"A, C, U, V"
5.333333333333333,9.0,2.0,"A, C, U, W"
6.0,9.0,2.0,"A, C, U, X"
5.0,13.0,1.0,"A, C, U, Y"
5.0,9.0,2.0,"A, C, U, Z"
4.333333333333333,7.0,1.0,"A, C, V, W"
5.333333333333333,9.0,1.0,"A, C, V, X"
5.333333333333333,13.0,1.0,"A, C, V, Y"
4.666666666666667,9.0,1.0,"A, C, V, Z"
6.333333333333333,9.0,2.0,"A, C, W, X"
5.333333333333333,13.0,1.0,"A, C, W, Y"
5.0,9.0,1.0,"A, C, W, Z"
8.0,13.0,2.0,"A, C, X, Y"
7.0,9.0,3.0,"A, C, X, Z"
6.333333333333333,13.0,1.0,"A, C, Y, Z"
10.333333333333334,17.0,1.0,"A, D, E, F"
10.666666666666666,15.0,1.0,"A, D, E, G"
8.666666666666666,15.0,1.0,"A, D, E, H"
6.333333333333333,9.0,3.0,"A, D, E, I"
7.0,9.0,4.0,"A, D, E, J"
7.0,9.0,3.0,"A, D, E, K"
8.666666666666666,13.0,1.0,"A, D, E, L"
6.333333333333333,9.0,3.0,"A, D, E, M"
6.333333333333333,9.0,3.0,"A, D, E, N"
10.333333333333334,21.0,1.0,"A, D, E, O"
11.0,17.0,1.0,"A, D, E, P"
5.666666666666667,9.0,3.0,"A, D, E, Q"
10.333333333333334,13.0,2.0,"A, D, E, R"
9.333333333333334,15.0,1.0,"A, D, E, S"
6.0,9.0,3.0,"A, D, E, T"
7.666666666666667,15.0,1.0,"A, D, E, U"
6.333333333333333,9.0,3.0,"A, D, E, V"
